url,label,url_length,number_of_slashes,is_https,number_of_http_occurrences,number_of_https_occurrences,number_of_dots,is_ip,number_of_digits,number_of_dashes,has_at_symbol,number_of_double_slashes,number_of_subdomains,number_of_dashes_in_domain,contains_query,ratio_of_digits,rare_top_level_domain,number_of_special_chars,ratio_of_special_chars,number_of_subdirectories,number_of_query_params,tld_length,has_fragment_identifier,has_credentials,is_known_shortening_service,domain_length,char_continuation_rate,suspicious_keywords
http://4aoo-bmmanager045288.vercel.app/?naps,0,44,3,0,1,0,2,0,7,1,0,1,1,1,1,0.1590909090909091,0,8,0.18181818181818182,0,1,3,0,0,0,31,0.4090909090909091,0
http://0suz-bmmanager047181.vercel.app/?naps,0,44,3,0,1,0,2,0,7,1,0,1,1,1,1,0.1590909090909091,0,8,0.18181818181818182,0,1,3,0,0,0,31,0.4090909090909091,0
http://ncrm-casefb588197.vercel.app/?naps,0,41,3,0,1,0,2,0,6,1,0,1,1,1,1,0.14634146341463414,0,8,0.1951219512195122,0,1,3,0,0,0,28,0.36585365853658536,0
http://casefb668303-f2w6.vercel.app/?naps,0,41,3,0,1,0,2,0,8,1,0,1,1,1,1,0.1951219512195122,0,8,0.1951219512195122,0,1,3,0,0,0,28,0.36585365853658536,0
http://casefb480777-qhn9.vercel.app/?naps,0,41,3,0,1,0,2,0,7,1,0,1,1,1,1,0.17073170731707318,0,8,0.1951219512195122,0,1,3,0,0,0,28,0.36585365853658536,0
http://renovacionmsn365.vercel.app/,0,35,3,0,1,0,2,0,3,0,0,1,1,0,0,0.08571428571428572,0,6,0.17142857142857143,0,0,3,0,0,0,27,0.5428571428571428,0
http://yn7e-casefb922847.vercel.app/,0,36,3,0,1,0,2,0,7,1,0,1,1,1,0,0.19444444444444445,0,7,0.19444444444444445,0,0,3,0,0,0,28,0.4166666666666667,0
http://lafv-casefb419443.vercel.app/?naps,0,41,3,0,1,0,2,0,6,1,0,1,1,1,1,0.14634146341463414,0,8,0.1951219512195122,0,1,3,0,0,0,28,0.36585365853658536,0
http://ud3j-bmmanager818288.vercel.app/?naps,0,44,3,0,1,0,2,0,7,1,0,1,1,1,1,0.1590909090909091,0,8,0.18181818181818182,0,1,3,0,0,0,31,0.4090909090909091,0
http://pal.bio/xcosohvike,0,25,3,0,1,0,1,0,0,0,0,1,0,0,0,0.0,0,5,0.2,1,0,3,0,0,0,7,0.52,0
http://aqzsfnghjcxmwytbedvlkpiuroylmghvqzf.vercel.app/?naps,0,59,3,0,1,0,2,0,0,0,0,1,1,0,1,0.0,0,7,0.11864406779661017,0,1,3,0,0,0,46,0.6440677966101694,0
https://sbisec.sdnjks.cfd/y1.html,0,33,3,1,0,1,3,0,1,0,0,1,1,0,0,0.030303030303030304,0,7,0.21212121212121213,1,0,3,0,0,0,17,0.30303030303030304,0
http://sbisec.sdnjks.cfd/,0,25,3,0,1,0,2,0,0,0,0,1,1,0,0,0.0,0,6,0.24,0,0,3,0,0,0,17,0.36,0
https://www.sdnjks.cfd/y1.html,0,30,3,1,0,1,3,0,1,0,0,1,1,0,0,0.03333333333333333,0,7,0.23333333333333334,1,0,3,0,0,0,14,0.3333333333333333,0
